"34";"GK0028";"tomine";"3";"0000-00-00";"1";"1";"41040";"120";"24";"0";"0";"NULL";"3";"54";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"35";"GK0032";"rosyutu";"4";"0000-00-00";"1";"1";"41040";"120";"24";"0";"0";"NULL";"3";"32";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"36";"GK0033";"nagareru";"1";"0000-00-00";"1";"1";"38000";"240";"48";"0";"0";"NULL";"3";"41";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"37";"GK0034";"momose";"3";"0000-00-00";"1";"1";"44388";"130";"26";"0";"0";"NULL";"3";"64";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"38";"GK0037";"omori";"8";"0000-00-00";"1";"1";"41040";"120";"24";"0";"0";"NULL";"3";"61";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"39";"GK0038";"yosinaga";"7";"0000-00-00";"1";"1";"41040";"120";"24";"0";"0";"NULL";"3";"46";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"40";"GK0039";"tamaki";"7";"0000-00-00";"1";"1";"41040";"120";"24";"0";"0";"NULL";"3";"45";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"42";"GK0036";"anahiku";"1";"0000-00-00";"1";"1";"38000";"240";"48";"0";"0";"NULL";"3";"86";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"43";"GK0041";"bazcs 007";"1";"0000-00-00";"2";"1";"9000";"120";"8";"0";"0";"NULL";"3";"16";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"44";"GK0043";"scpcs 011";"1";"0000-00-00";"2";"1";"9000";"120";"8";"0";"0";"NULL";"3";"13";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"45";"GK0040";"abeno";"7";"0000-00-00";"1";"1";"41040";"120";"24";"0";"0";"NULL";"3";"47";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"46";"GK0042";"bazcs004";"1";"0000-00-00";"2";"1";"9000";"120";"8";"0";"0";"NULL";"3";"17";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"47";"GK0044";"bazcs 010";"1";"0000-00-00";"2";"1";"9000";"120";"8";"0";"0";"NULL";"3";"25";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"48";"GK0046";"hayama";"3";"0000-00-00";"1";"1";"41040";"120";"24";"0";"0";"NULL";"3";"53";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"49";"GK0045";"ucyuu mizuno";"1";"0000-00-00";"1";"1";"23750";"150";"30";"0";"0";"NULL";"3";"51";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"50";"GK0048";"scoop asadati";"1";"0000-00-00";"1";"1";"38000";"120";"24";"0";"0";"NULL";"3";"32";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"51";"GK0049";"enkou2";"4";"0000-00-00";"1";"1";"41040";"120";"24";"0";"0";"NULL";"3";"27";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"52";"GK0051";"rosyutu2";"4";"0000-00-00";"1";"1";"41040";"120";"24";"0";"0";"NULL";"3";"40";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
