154,2014-10-15,1,7,3,13,1,1,
155,2014-10-16,1,4,2,8.5,1,1,dinner
156,2014-10-16,1,4,2,4,1,1,breakfast
157,2014-10-16,1,4,2,2.1,1,1,coffee
158,2014-10-16,1,13,1,5.25,1,1,
159,2014-10-17,1,4,2,5,1,1,breakfast
160,2014-10-17,1,8,2,4,1,1,gas
161,2014-10-17,1,3,2,3.5,1,1,"looseleaf, name card holder"
162,2014-10-17,1,7,3,13.5,1,1,
163,2014-10-17,1,7,3,15,1,1,
164,2014-10-17,1,4,2,3,1,1,lunch
165,2014-10-18,1,4,2,5.1,1,1,lunch
166,2014-10-18,1,4,2,5,1,1,samurai curry
167,2014-10-18,1,4,2,1.25,2,1,coca
168,2014-10-18,1,4,2,0.75,1,1,water
169,2014-10-19,1,4,2,7.4,1,1,lunch
170,2014-10-19,1,4,2,4.5,1,1,breakfast
171,2014-10-19,1,8,2,0.25,1,1,parking
172,2014-10-19,1,10,1,58,1,1,Icrecoder
173,2014-10-19,1,3,2,47,1,1,hair dryer
174,2014-10-19,1,8,2,0.25,1,1,parking
175,2014-10-19,1,13,1,5.25,1,1,footsal
176,2014-10-19,1,4,2,1.25,1,1,water
177,2014-10-19,1,4,2,0.875,1,1,drinks
178,2014-10-20,1,4,2,9,1,1,dinner
179,2014-10-20,1,4,2,8,1,1,
180,2014-10-20,1,4,2,6.4,1,1,lunch
181,2014-10-20,1,2,1,69,1,1,HDD
182,2014-10-20,1,4,2,1.25,1,1,coffee
183,2014-10-20,1,7,3,8,1,1,
184,2014-10-21,1,4,2,3,1,1,breakfast
185,2014-10-21,1,4,2,3,1,1,chewcream
186,2014-10-21,1,3,2,9.6,1,1,condorm
187,2014-10-21,1,3,2,0.28,1,1,masks
188,2014-10-21,1,4,2,4,1,1,coffee
189,2014-10-21,1,9,3,1,1,1,tip
190,2014-10-21,1,8,2,4.1,1,1,gas
191,2014-10-21,1,7,3,30,1,1,
192,2014-10-21,1,8,2,6,1,1,to cony
193,2014-10-21,1,8,2,0.25,1,1,parking
194,2014-10-21,1,8,2,1.26,1,1,gas
195,2014-10-21,1,8,2,0.25,1,1,parking
196,2014-10-21,1,8,2,0.25,1,1,parking
197,2014-10-21,1,8,2,12,1,1,to airport
198,2014-10-21,1,8,2,3,1,1,to AEON
199,2014-10-21,1,8,2,17,1,1,to naga world
200,2014-10-22,1,4,2,5,1,1,water
201,2014-10-22,1,8,2,0.375,1,1,parking
202,2014-10-22,1,8,2,4,1,1,to phnom penh tower
203,2014-10-22,1,7,3,5,1,1,
204,2014-10-22,1,8,2,0.25,1,1,parking
205,2014-10-22,1,8,2,8,1,1,bike change
206,2014-10-22,1,8,2,13,1,1,to house and airport
207,2014-10-22,1,1,2,300,2,1,deposit
208,2014-10-22,1,8,2,0.25,1,1,parking
209,2014-10-22,1,8,2,0.25,1,1,parking
210,2014-10-23,1,4,2,5,1,1,dinner
211,2014-10-23,1,7,3,8,1,1,massage
212,2014-10-23,1,8,2,0.25,1,1,parking
213,2014-10-23,1,8,2,0.25,1,1,parking
214,2014-10-23,1,8,2,0.25,1,1,parking
215,2014-10-23,1,7,3,10,1,1,beer
216,2014-10-24,1,4,2,9.5,1,1,dinner
217,2014-10-24,1,8,2,0.25,1,1,parking
218,2014-10-24,1,8,2,4,1,1,to naga world
219,2014-10-24,1,11,2,1,1,1,top up
220,2014-10-24,1,2,1,574,1,1,lap top
221,2014-10-24,1,4,2,1.25,1,1,meeting with Suon
222,2014-10-25,1,4,2,4.7,1,1,lunch
223,2014-10-25,1,8,2,0.25,1,1,parking
224,2014-10-25,1,8,2,60,2,1,rental bike
225,2014-10-25,1,7,3,20,1,1,tip
226,2014-10-25,1,4,2,0.25,2,1,water
227,2014-10-26,1,4,2,6.5,1,1,dinner
228,2014-10-26,1,4,2,4.25,1,1,lunch
229,2014-10-26,1,8,2,1.25,1,1,to kiriya
230,2014-10-26,1,8,2,3,1,1,to lounge mai
231,2014-10-26,1,7,3,6.5,1,1,
232,2014-10-27,1,4,2,4,1,1,breakfast
233,2014-10-27,1,4,2,4,1,1,dinner
234,2014-10-27,1,8,2,4.01,1,1,gas
235,2014-10-27,1,5,1,550,2,1,
236,2014-10-27,1,4,2,4,1,1,tea
237,2014-10-27,1,1,2,2500,2,1,3 months deposits and 1 month rent
238,2014-10-27,1,4,2,2.1,1,1,juice
239,2014-10-28,1,4,2,7.8,1,1,dinner
240,2014-10-28,1,4,2,3.125,1,1,lunch
241,2014-10-28,1,4,2,3,1,1,breakfast
242,2014-10-28,1,10,1,30.1,1,1,books
243,2014-10-28,1,3,2,21,2,1,"rice cooker, iron pan"
244,2014-10-28,1,4,2,3.1,1,1,juice
245,2014-10-29,1,4,2,5.6,1,1,dinner
246,2014-10-29,1,4,2,3.625,1,1,breakfast
247,2014-10-29,1,2,1,363,2,1,"9 small desk 32$,1 big desk 65$,delivery 10$"
248,2014-10-29,1,3,2,15.1,1,1,"hunger, tissue, dish, spoon&folk, sandle"
249,2014-10-29,1,3,2,6.7,1,1,"kitchen cleanser, laundry, WC cleanser"
250,2014-10-29,1,2,1,575,2,1,"safe, 10 chair"
251,2014-10-29,1,2,1,34,1,1,"mop, dust box 3"
252,2014-10-29,1,2,1,13.75,1,1,"key, scissors 2, screw driver"
253,2014-10-29,1,3,2,38.6,1,1,"for cleaning room, toilet"
254,2014-10-29,1,3,2,29.95,1,1,clearning goods
255,2014-10-29,1,11,2,6,1,1,top up
256,2014-10-30,1,4,2,7,1,1,lunch with suon
257,2014-10-30,1,4,2,6.1,1,1,dinner
258,2014-10-30,1,4,2,2,1,1,breakfast
259,2014-10-30,1,6,2,276.1,2,1,stay & laundry
260,2014-10-30,1,3,2,520,2,1,"washing machine, fridge"
261,2014-10-30,1,3,2,135,2,1,"gas cooker, plug, gas tank"
262,2014-10-30,1,3,2,5,2,1,"deilvery, setup"
263,2014-10-30,1,3,2,10.75,1,1,"glasses, water, kitchen goods"
264,2014-10-30,1,4,2,2.2,1,1,caf?
265,2014-10-31,1,4,2,5.125,1,1,lunch
266,2014-10-31,1,4,2,2,1,1,breakfast
267,2014-10-31,1,4,2,3.8,1,1,coffee
268,2014-11-01,1,4,2,3,1,1,lunch
269,2014-11-01,1,4,2,1.75,1,1,dinner
270,2014-11-01,1,8,2,4,2,1,to office
271,2014-11-01,1,3,2,48.55,1,1,house goods
272,2014-11-01,1,8,2,0.25,2,1,parking
273,2014-11-01,1,3,2,4.1,1,1,groceries
274,2014-11-01,1,3,2,24.85,1,1,groceries
275,2014-11-01,1,2,1,100,1,1,water heater & install
276,2014-11-01,1,2,1,316.5,2,1,mattress & sheets & delivery
277,2014-11-02,1,4,2,8,1,1,"pasta, "
278,2014-11-02,1,4,2,2.5,1,1,lunch
279,2014-11-02,1,4,2,1.875,1,1,breakfast
280,2014-11-02,1,13,1,16,1,1,footsal with suon
281,2014-11-02,1,4,2,0.25,1,1,water
282,2014-11-03,1,4,2,10.6,1,1,lunch
283,2014-11-03,1,3,2,0.5,1,1,rain coat
284,2014-11-03,1,3,2,12,1,1,pan
285,2014-11-04,1,4,2,6.8,1,1,lunch
286,2014-11-04,1,4,2,2,1,1,dinner
287,2014-11-04,1,4,2,3.7,1,1,juice
288,2014-11-04,1,8,2,4.17,2,1,gas
289,2014-11-04,1,4,2,2.4,1,1,coffee
290,2014-11-04,1,3,2,24.05,1,1,"towels, shelf, straw"
291,2014-11-05,1,4,2,4,1,1,lunch
292,2014-11-05,1,4,2,1.25,1,1,breakfast
293,2014-11-05,1,4,2,1.25,1,1,dinner
294,2014-11-05,1,3,2,9.7,1,1,"coffee, mug cup, water"
295,2014-11-05,1,4,2,2.25,1,1,coffee
296,2014-11-06,1,4,2,4,1,1,lunch
297,2014-11-06,1,4,2,2.25,1,1,breakfast
298,2014-11-06,1,4,2,0.625,1,1,dinner
299,2014-11-06,1,9,3,7.5,1,1,tip
300,2014-11-06,1,4,2,2.25,1,1,coffee
