id,date,project id,expense_item_id,expense_type_id,price,budget_type_id,currency_id,note
728,2015-03-16,2,4,2,1,1,1,lunch
729,2015-03-16,1,15,2,249,2,1,opennet
730,2015-03-16,2,4,2,9.9,1,1,"milk, candy, baking powder"
731,2015-03-17,2,4,2,1,1,1,lunch
732,2015-03-17,2,10,1,10.75,1,1,magazines
733,2015-03-17,2,2,1,5.7,1,1,"pen, seal"
734,2015-03-17,2,21,1,18,1,1,party with Kurata pepper
735,2015-03-17,2,8,2,11,1,1,taxi
736,2015-03-18,2,4,2,1,1,1,lunch
737,2015-03-18,2,4,2,15.9,1,1,"honey, teeth brush"
738,2015-03-19,2,4,2,1,1,1,lunch
739,2015-03-19,1,8,2,3.5,2,1,gas
740,2015-03-19,2,13,1,5.5,1,1,footsal
741,2015-03-20,2,4,2,1,1,1,lunch
742,2015-03-20,1,1,2,715,2,1,"house, gabbage"
743,2015-03-20,1,17,2,191.75,2,1,electricity
744,2015-03-20,1,11,2,25,2,1,top up
745,2015-03-20,1,8,2,5,2,1,tuktuk
746,2015-03-20,1,8,2,2,2,1,taxi
747,2015-03-20,2,21,1,10,1,1,saint lope
748,2015-03-20,1,8,2,6.5,2,1,taxi
749,2015-03-20,1,19,1,300,2,1,Pidour
750,2015-03-20,2,4,2,6.5,1,1,costa
751,2015-03-21,1,8,2,5,2,1,tuk
752,2015-03-21,2,4,2,3.75,1,1,caffe bene
753,2015-03-21,2,3,2,20,1,1,cleansing
754,2015-03-21,2,21,1,15,1,1,Honda
755,2015-03-21,2,14,1,1,1,1,tip
756,2015-03-21,2,9,3,5,1,1,tip
757,2015-03-21,2,7,3,80,1,1,club
758,2015-03-22,2,4,2,2,1,1,pho
759,2015-03-22,2,21,1,16,1,1,caf?
760,2015-03-22,2,4,2,2,1,1,toul les jour
761,2015-03-22,2,4,2,2,1,1,toul les jour
762,2015-03-23,2,4,2,1,1,1,lunch
763,2015-03-20,2,4,2,10,1,1,dinner
764,2015-03-23,2,4,2,8.5,1,1,"coffee, milk"
765,2015-03-24,2,9,3,10,1,1,police
766,2015-03-24,2,21,1,18,1,1,Piccola
767,2015-03-25,2,4,2,1,1,1,lunch
768,2015-03-25,2,21,1,40,1,1,dinner
769,2015-03-26,2,21,1,5.85,1,1,lunch
770,2015-03-26,2,3,2,10.75,1,1,pharmacy
771,2015-03-26,2,20,1,90,1,1,party with nukata teacher
772,2015-03-26,2,4,2,6,1,1,carrot juice
773,2015-03-27,2,4,2,1,1,1,lunch
774,2015-03-27,2,4,2,8.4,1,1,milk
775,2015-03-27,2,3,2,0.5,1,1,cleaning
776,2015-03-28,2,2,1,2.5,1,1,key
777,2015-03-28,1,8,2,3.85,2,1,gas
778,2015-03-28,2,13,1,8,1,1,football
779,2015-03-30,2,4,2,1,1,1,lunch
780,2015-03-31,2,21,1,5,1,1,dinner
781,2015-03-31,2,20,1,23,1,1,lunch
782,2015-03-31,1,12,2,50,2,1,tax
783,2015-04-01,1,19,1,2500,2,1,0
784,2015-04-01,2,4,2,5.8,1,1,0
785,2015-04-01,2,20,1,30,1,1,dinner
786,2015-04-01,2,20,1,20.625,1,1,0
787,2015-04-01,1,8,2,10,2,1,bus
788,2015-04-01,2,4,2,10,1,1,lunch
789,2015-04-01,2,16,2,300,1,1,$ to VND
790,2015-04-01,2,21,1,100,1,1,0
791,2015-04-01,2,21,1,10,1,1,0
792,2015-04-05,2,8,2,13,1,1,taxi to airport
793,2015-04-05,2,8,2,10,1,1,tuk tuk
794,2015-04-05,2,21,1,35,1,1,visa for akito
795,2015-04-05,2,21,1,17,1,1,dinner with akito
796,2015-04-06,2,4,2,1,1,1,lunch
797,2015-04-06,2,21,1,1,1,1,lunch
798,2015-04-06,1,2,1,34,2,1,"water bottle 5, + 9"
799,2015-04-06,2,2,1,5.25,1,1,"envelope, milk"
800,2015-04-06,1,19,1,1469,2,1,0
801,2015-04-06,2,21,1,103,1,1,0
802,2015-04-06,2,21,1,3,1,1,tuk tuk for akito
803,2015-04-06,2,4,2,20,1,1,dinner
804,2015-04-06,2,4,2,1,1,1,lunch
805,2015-04-07,2,21,1,56,1,1,woodball
806,2015-04-07,2,4,2,2.25,1,1,lunch
807,2015-04-08,2,4,2,1,1,1,lunch
808,2015-04-08,1,8,2,0.25,2,1,parking
809,2015-04-08,1,8,2,67,2,1,rental moto
810,2015-04-08,2,21,1,5,1,1,miyabi
811,2015-04-08,2,21,1,7.5,1,1,duplex
812,2015-04-08,2,21,1,95,1,1,miyabi
813,2015-04-08,2,21,1,10,1,1,piccora
814,2015-04-09,2,4,2,2,1,1,lunch
815,2015-04-09,2,20,1,20,1,1,footsal
816,2015-04-09,2,20,1,5,1,1,dinner
817,2015-04-10,2,21,1,10,1,1,lunch with Mr.sato
818,2015-04-10,2,4,2,4.2,1,1,digby's
819,2015-04-10,1,8,2,0.5,2,1,parking
820,2015-04-10,2,20,1,12,1,1,dinner
821,2015-04-10,2,21,1,50,1,1,K9
822,2015-04-11,2,4,2,1,1,1,lunch
823,2015-04-11,2,20,1,75.75,1,1,dinner with all
824,2015-04-11,2,20,1,148.75,1,1,club
825,2015-04-12,1,19,1,300,2,1,pidoar
826,2015-04-12,1,1,2,715,2,1,0
827,2015-04-12,1,17,2,273.875,2,1,electricity
828,2015-04-12,1,15,2,249,2,1,opennet
829,2015-04-12,2,21,1,20,1,1,dinner
830,2015-04-12,2,21,1,10,1,1,happy day
831,2015-04-12,2,7,3,40,1,1,0
832,2015-04-12,2,9,3,10,1,1,tip
833,2015-04-13,2,21,1,7.5,1,1,massage
834,2015-04-13,2,21,1,58.25,1,1,souvenir
835,2015-04-13,2,4,2,10.4,1,1,9 dragon
836,2015-04-14,2,4,2,5.5,1,1,dinner
837,2015-04-15,2,21,1,50,1,1,Tamasa
838,2015-04-16,2,4,2,5,1,1,lunch
839,2015-04-16,2,4,2,5.95,1,1,ice
840,2015-04-16,2,8,2,5,1,1,tuk
841,2015-04-16,2,4,2,10,1,1,dinner at airport
842,2015-04-23,2,4,2,10,1,1,china
843,2015-04-23,2,8,2,9,1,1,tuk
844,2015-04-23,2,13,1,8,1,1,footsal
845,2015-04-23,1,8,2,3.6,2,1,gas
846,2015-04-23,2,4,2,6.2,1,1,caf?
847,2015-04-24,2,3,2,28,1,1,hair cut
848,2015-04-24,2,4,2,3.95,1,1,milk
849,2015-04-25,2,4,2,1.5,1,1,water
850,2015-04-25,2,4,2,1,1,1,caf?
851,2015-04-25,2,13,1,18.125,1,1,footsal
852,2015-04-25,2,21,1,20,1,1,hibari
853,2015-04-25,2,2,1,5,1,1,SuiJoh coster
854,2015-04-26,1,8,2,5,2,1,tuk
855,2015-04-26,2,21,1,8.5,1,1,lunch
856,2015-04-26,2,4,2,8,1,1,lucnh
857,2015-04-26,2,3,2,148.3,1,1,AEON
858,2015-04-26,2,4,2,2.2,1,1,caf?
859,2015-04-26,1,8,2,1,2,1,to Diamond city
860,2015-04-26,2,21,1,50,1,1,wedding party
861,2015-04-26,2,4,2,6.5,1,1,ramen
862,2015-04-26,2,8,2,8.5,1,1,taxi
863,2015-04-27,2,4,2,8.6,1,1,coffee
864,2015-04-27,2,4,2,10,1,1,dinner
865,2015-04-28,2,4,2,1,1,1,lunch
866,2015-04-26,2,21,1,50,1,1,wedding
867,2015-04-28,2,4,2,10,1,1,dinner
868,2015-04-28,2,21,1,10,1,1,0
869,2015-04-28,2,4,2,10,1,1,dinner
870,2015-04-29,2,4,2,1,1,1,lunch
871,2015-04-29,1,3,2,15,2,1,gas
872,2015-04-30,2,4,2,1,1,1,lunch
